Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s]
491,2.45,1676.169075,4.501033,5.722268,2.166424
492,2.455,1722.408222,4.519435,5.733097,2.165315
493,2.46,1722.408222,4.538078,5.743921,2.16419
494,2.465,1699.288648,4.556586,5.754739,2.163073
495,2.47,1710.848435,4.575023,5.765552,2.16196
496,2.475,1722.408222,4.593574,5.776359,2.160839
497,2.48,1733.968009,4.612241,5.78716,2.159711
498,2.485,1664.609288,4.630586,5.797956,2.158602
499,2.49,1676.169075,4.64861,5.808746,2.157512
500,2.495,1710.848435,4.666874,5.819531,2.156407
501,2.5,1745.527795,4.685503,5.83031,2.155279
502,2.505,1745.527795,4.704308,5.841084,2.154138
503,2.51,1733.968009,4.723042,5.851852,2.153001
504,2.515,1780.207155,4.741952,5.862614,2.151853
505,2.52,1780.207155,4.7611,5.87337,2.150689
506,2.525,1780.207155,4.780238,5.884121,2.149525
507,2.53,1803.326729,4.79949,5.894865,2.148353
508,2.535,1780.207155,4.818732,5.905604,2.147181
509,2.54,1768.647369,4.837777,5.916337,2.146021
510,2.545,1745.527795,4.856625,5.927064,2.144872
511,2.55,1722.408222,4.875216,5.937786,2.14374
512,2.555,1745.527795,4.893797,5.948502,2.142607
513,2.56,1733.968009,4.91243,5.959212,2.14147
514,2.565,1733.968009,4.930991,5.969916,2.140338
515,2.57,1710.848435,4.949419,5.980615,2.139213
516,2.575,1757.087582,4.967961,5.991309,2.13808
517,2.58,1757.087582,4.98674,6.001996,2.136932
518,2.585,1768.647369,5.00557,6.012678,2.13578
519,2.59,1814.886516,5.024699,6.023354,2.134608
520,2.595,1838.006089,5.044187,6.034024,2.133412
